generation,original_mean_best,original_std,improved_mean_best,improved_std
0,-386.0,19.959959919799438,-362.5,17.73978579352073
1,-384.0,18.686893802876924,-354.0,10.73312629199899
2,-381.5,19.664689166117018,-346.0,10.844353369380768
3,-381.5,19.664689166117018,-343.0,12.24744871391589
4,-381.5,19.664689166117018,-343.0,12.24744871391589
5,-381.0,18.973665961010276,-340.0,13.236313686219438
6,-381.0,18.973665961010276,-336.0,12.86856635371633
7,-372.0,15.414279094398154,-333.0,16.864163187066236
8,-371.5,15.8082257068907,-333.0,16.864163187066236
9,-370.0,14.028542333400146,-330.5,18.918245161747958
10,-370.0,14.028542333400146,-330.5,18.918245161747958
11,-370.0,14.028542333400146,-329.5,20.906936647916645
12,-370.0,14.028542333400146,-329.5,20.906936647916645
13,-370.0,14.028542333400146,-326.5,25.414562754452415
14,-367.5,10.691117808723277,-324.5,24.696153546655804
15,-367.5,10.691117808723277,-321.5,27.718225051398942
16,-367.5,10.691117808723277,-321.5,27.718225051398942
17,-367.5,10.691117808723277,-321.5,27.718225051398942
18,-367.0,10.334408546211051,-321.0,27.62607463973121
19,-367.0,10.334408546211051,-321.0,27.62607463973121
20,-367.0,10.334408546211051,-319.0,27.799280566230486
21,-367.0,10.334408546211051,-318.0,28.20638225650358
22,-367.0,10.334408546211051,-318.0,28.20638225650358
23,-367.0,10.334408546211051,-318.0,28.20638225650358
24,-367.0,10.334408546211051,-318.0,28.20638225650358
25,-367.0,10.334408546211051,-317.0,26.60826939130014
26,-367.0,10.334408546211051,-317.0,26.60826939130014
27,-366.5,9.565563234854496,-317.0,26.60826939130014
28,-366.5,9.565563234854496,-317.0,26.60826939130014
29,-366.5,9.565563234854496,-316.5,25.85923432741194
30,-366.5,9.565563234854496,-316.5,25.85923432741194
31,-366.5,9.565563234854496,-316.5,25.85923432741194
32,-366.5,9.565563234854496,-316.5,25.85923432741194
33,-366.5,9.565563234854496,-316.5,25.85923432741194
34,-366.5,9.565563234854496,-316.5,25.85923432741194
35,-366.0,9.486832980505138,-316.5,25.85923432741194
36,-365.5,9.181503144910424,-316.5,25.85923432741194
37,-365.5,9.181503144910424,-316.5,25.85923432741194
38,-365.5,9.181503144910424,-316.5,25.85923432741194
39,-365.5,9.181503144910424,-316.5,25.85923432741194
40,-365.5,9.181503144910424,-316.5,25.85923432741194
41,-364.5,9.049861877399014,-316.5,25.85923432741194
42,-364.5,9.049861877399014,-316.5,25.85923432741194
43,-364.5,9.049861877399014,-316.5,25.85923432741194
44,-364.5,9.049861877399014,-316.5,25.85923432741194
45,-364.5,9.049861877399014,-316.5,25.85923432741194
46,-364.5,9.049861877399014,-316.5,25.85923432741194
47,-364.5,9.049861877399014,-316.5,25.85923432741194
48,-364.5,9.049861877399014,-316.5,25.85923432741194
49,-364.5,9.049861877399014,-316.5,25.85923432741194
